"canonical_term","variant","used_by","kind"
"dashboard","dashboard","Rajeev Menon; Shalini Iyer; Ananya Krishnan; Vikram Sethi; Marijke van der Berg; Sneha Pillai","canonical"
"dashboard","report","Priya Nair","legacy"
"dashboard","page","Ritwik Ghosh","jargon"
"dashboard","dashboard page","Priya Nair","legacy"
"dashboard","analysis","Priya Nair","legacy"
"filter control","slicer","Ritwik Ghosh; Ishaan Bhatt","canonical"
"filter control","prompt","Priya Nair","legacy"
"visual","visual","Ritwik Ghosh","canonical"
"visual","tile","Ritwik Ghosh; Rajeev Menon","synonym"
"visual","card","Ritwik Ghosh","jargon"
"visual","chart","Priya Nair; Shalini Iyer","register"
"agent","agent means an OBIEE scheduled delivery to Priya Nair and the ODI standalone agent OracleDIAgent1 to Farida Contractor. Both usages appear and nobody disambiguates.","Priya Nair (OBIEE sense); Farida Contractor (ODI sense)","false_friend"
"SCD2","SCD2","Karthik Subramanian; Ishaan Bhatt","canonical"
"SCD2","type 2","Neha Gokhale","synonym"
"SCD2","history tracking","Shalini Iyer; Rajeev Menon","register"
"SCD2","effective dating","Karthik Subramanian; Neha Gokhale","jargon"
"SCD2","versioned dimension","Ishaan Bhatt","jargon"
"nightly load","nightly load","Karthik Subramanian; Ananya Krishnan; Neha Gokhale; Sneha Pillai; Ishaan Bhatt","canonical"
"nightly load","the run","Farida Contractor; Aniruddh Deshpande","jargon"
"nightly load","the batch","Rajeev Menon; Shalini Iyer; Vikram Sethi","register"
"nightly load","load plan","Farida Contractor; Karthik Subramanian","jargon"
"nightly load","the job","Priya Nair; Vikram Sethi","register"
"credit note","credit note","Shalini Iyer; Karthik Subramanian; Ananya Krishnan; Marijke van der Berg; Ishaan Bhatt; Sneha Pillai","canonical"
"credit note","CN","Shalini Iyer; Farida Contractor","abbreviation"
"credit note","claim","Vikram Sethi","misuse"
"credit note","rate difference","Shalini Iyer","finance"
"secondary sales feed","DMS feed","Ishaan Bhatt; Karthik Subramanian","canonical"
"secondary sales feed","SFA upload","Farida Contractor; Priya Nair","legacy"
"secondary sales feed","the secondary file","Vikram Sethi","register"
"warehouse","warehouse","Karthik Subramanian; Ananya Krishnan; Shalini Iyer; Neha Gokhale","canonical"
"warehouse","EDW","Farida Contractor; Ishaan Bhatt; Aniruddh Deshpande","abbreviation"
"warehouse","the DW","Priya Nair; Meghna Rao","abbreviation"
"warehouse","the cube","Priya Nair","legacy"
"crore","Cr","Shalini Iyer; Ananya Krishnan; Karthik Subramanian; Sneha Pillai","abbreviation"
"crore","cr (lowercase)","Vikram Sethi","register"
"lakh","L","Ananya Krishnan; Sneha Pillai; Karthik Subramanian","abbreviation"
"lakh","lacs","Vikram Sethi; Aniruddh Deshpande","register"
"stored procedure","proc","Aniruddh Deshpande; Ishaan Bhatt","jargon"
"stored procedure","stored procedure","Karthik Subramanian; Neha Gokhale; Sneha Pillai","canonical"
"stored procedure","the package","Karthik Subramanian; Aniruddh Deshpande","jargon"
"server","the box","Aniruddh Deshpande","jargon"
"server","host","Karthik Subramanian; Farida Contractor","canonical"
"reply","revert","Vikram Sethi; Priya Nair","register"
"please do it","do the needful","Vikram Sethi","register"
"bring forward","prepone","Vikram Sethi; Priya Nair","register"
"Klarissen Group N.V.","Group","Shalini Iyer; Rajeev Menon; Ananya Krishnan","register"
"Klarissen Group N.V.","Amsterdam","Rajeev Menon","register"
"Bharadwaj Consumer Products Ltd","India","Marijke van der Berg; Wei Lin Tan","register"
"Bharadwaj Consumer Products Ltd","BCPL","everyone","abbreviation"
"Baddi","Buddy","ASR of Aniruddh Deshpande; Farida Contractor; Vikram Sethi","asr"
"Baddi","Bady","ASR of Priya Nair","asr"
"ODI","Odie","ASR of Farida Contractor; Karthik Subramanian","asr"
"ODI","OD I","ASR of Ishaan Bhatt; Neha Gokhale","asr"
"SCD2","SED 2","ASR of Karthik Subramanian","asr"
"SCD2","SCD too","ASR of Ishaan Bhatt","asr"
"Nashik","Nashville","ASR of Vikram Sethi; Ananya Krishnan","asr"
"ORION","Oreo","ASR of Vikram Sethi; Shalini Iyer","asr"
"ORION","O'Ryan","ASR of Ananya Krishnan","asr"
"OBIEE","Obi E","ASR of Priya Nair","asr"
"OBIEE","OB I double E","ASR of Ritwik Ghosh","asr"
"crore","core","ASR of everyone who says a rupee figure","asr"
"lakh","lac","ASR of Shalini Iyer; Vikram Sethi","asr"
"Ani","Annie","ASR of Farida Contractor; Karthik Subramanian; Ishaan Bhatt","asr"
"Aniruddh","Anirood","ASR of Ananya Krishnan","asr"
"Farida","Frida","ASR of Karthik Subramanian; Ananya Krishnan","asr"
"Meghna","Megna","ASR of Neha Gokhale","asr"
"Iyer","Ayer","ASR of Marijke van der Berg; Wei Lin Tan","asr"
"Klarissen","Clarissen","ASR of Rajeev Menon; Shalini Iyer","asr"
"Bharadwaj","Bhardwaj","ASR of everyone","asr"
"Drishti","Drishty","ASR of Ananya Krishnan","asr"
"Sahyadri","Sai Adri","ASR of Aniruddh Deshpande","asr"
"stockist","stock list","ASR of Vikram Sethi","asr"
"SKU","skew","ASR of Ritwik Ghosh; Meghna Rao","asr"
"Control-M","control em","ASR of Farida Contractor","asr"
"DELETE_FLAG","delete flack","ASR of Ishaan Bhatt; Aniruddh Deshpande","asr"
"primary sales","primary cells","ASR of Vikram Sethi","asr"
"secondary sales","secondary cells","ASR of Vikram Sethi; Priya Nair","asr"
"Andheri","Andaree","ASR of Sneha Pillai","asr"
"Suvarn","Sovereign","ASR of Vikram Sethi","asr"
"Rakshak","rickshaw","ASR of Ritwik Ghosh","asr"
"Chandanaa","Chandan A","ASR of Meghna Rao","asr"
"Nimbua","Nimbu ah","ASR of Priya Nair","asr"
"Tarang","Ta rang","ASR of Vikram Sethi","asr"
"DBLINK","the be link","ASR of Karthik Subramanian","asr"
"hypercare","hyper care","ASR of Ananya Krishnan","asr"
"UAT","you A T","ASR of Priya Nair","asr"
"idempotent","I dem potent","ASR of Karthik Subramanian","asr"
"Vikram","Vikrant","ASR of Wei Lin Tan","asr"
# used_by is BINDING. A speaker uses their assigned variant consistently across the entire corpus.
# Vikram Sethi says 'stockist' always and never 'distributor' or 'channel partner'. Marijke van der Berg says 'channel partner' always. Karthik Subramanian says 'SCD2' always.
# kind=asr rows appear ONLY in _sources/meetings/*.vtt, and survive 2 to 4 times into each meeting .txt. Never in email, docs, decks, trackers, technical files or chat.
# SYNTHETIC — generated for internal demo. No real entity depicted.
