"fact_id","fact_statement","owning_artifact_id","may_also_appear_in","must_not_appear_in","demo_question"
"F-GOLIVE-FINAL","Go-live is 12 November 2026.","DK-06","T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-GOLIVE-REASON2","Reason for the final date: the Klarissen Group close blackout of 26 October to 06 November CET forbids a cutover in that window, so the steering committee takes the cutover weekend of 7-8 November and a business go-live on Thursday 12 November 2026.","T-08","DK-06","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-CUTOVER","Cutover weekend 07-08 November 2026, historical reload 09 to 11 November, business go-live 12 November, hypercare to 11 December 2026.","DK-06","T-08","T-01; T-02; T-03; T-04; T-05; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-UAT-ORIG","UAT runs 10 to 28 August 2026 (the plan built around a 15-Sep go-live).","DK-01","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-UAT-FINAL","UAT runs 12 October to 06 November 2026.","EM-089","CH-02","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q1"
"F-SCD2-OPTION","SCD2 for DIM_CUSTOMER is raised as the option at the architecture review of 14-Apr-2026, because distributor territory reassignment must not restate history.","T-04","none","T-01; T-02; T-03; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-SCD1-PROPOSED","SCD1 was proposed for DIM_PRODUCT at the architecture review of 14-Apr-2026 on the grounds that SKU attributes rarely change. DOC-04 may reference this only as the superseded position inside ADR-003.","T-04","DOC-04","T-01; T-02; T-03; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-SCD2-OBJECTION","Farida Contractor objects that SCD2 on DIM_CUSTOMER will add 12 to 15 minutes on month-end nights and that the window has already been breached twice this quarter, on 14-Feb-2026 and 02-Mar-2026. Her 12 to 15 minute figure is an estimate and is wrong.","EM-041","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-SCD2-COUNTER","Measured cost of SCD2 on DIM_CUSTOMER is +7 minutes 28 seconds (4 min 12 sec becomes 11 min 40 sec, measured on DEV on 21-Apr-2026). On the worst month-end night in the 76-night sample the run moves from finishing 04:12 IST to finishing 04:20 IST, which is 70 minutes inside the 05:30 IST SLA. EM-047 may carry the headline numbers as a covering note; the model, the assumptions and the scenarios live in XL-03.","XL-03","EM-047","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-SCD2-DECISION","SCD2 for DIM_CUSTOMER and for DIM_PRODUCT is approved at the design sign-off of 06-May-2026.","T-05","DOC-04","T-01; T-02; T-03; T-04; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-SCD2-RATIONALE","Rationale for SCD2 on DIM_CUSTOMER, written up as ADR-002: a distributor territory reassignment must not restate prior-period sales against the new territory, so the dimension carries EFF_START_DT, EFF_END_DT and CURRENT_FLG and facts join on the surrogate key valid at invoice date.","DOC-04","T-05","T-01; T-02; T-03; T-04; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-ADR-REGISTER","The ADR register ADR-001 to ADR-005 (star schema and grain; DIM_CUSTOMER SCD2; DIM_PRODUCT SCD2 superseding SCD1; VAR-003 remediation approach; DIM_DATE key from INVOICE_DT in IST) is held as an appendix in DOC-04.","DOC-04","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q2"
"F-DBLINK-HYP","VAR-003 is believed to be caused by latency on the ORION_PRD database link. This is the misdirection. It originates in T-03 on 24-Mar-2026, may be carried as an open line of enquiry in DK-02 and in the XL-01 root cause cell before May, and is restated in T-04 only in order to be ruled out.","T-03","DK-02; T-04; XL-01","T-01; T-02; T-05; T-06; T-07; T-08; DK-01; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-DBLINK-RULEDOUT","The DBLINK hypothesis is ruled out at the architecture review with AWR evidence for 23-Mar-2026 01:00-03:00: 4.1 minutes of SQL*Net message from dblink wait across the whole load, 38 ms average round trip over 6,412 round trips, 1.2 percent of elapsed. Latency makes a load slow; it does not make an amount wrong, and the duplicated amounts are exact duplicates.","T-04","DK-03; XL-01","T-01; T-02; T-03; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-VAR003-AREA","VAR-003 originates in an ORION-side scheme recalculation rather than in ODI. Permitted phrasings: 'root cause is source-side, not in the ETL', 'a finance procedure in ORION rewrites the scheme discount amount', 'see the stored procedure walkthrough for the detail'. NOT permitted: any timing, any ordering, any clock time, any statement about re-extraction.","DK-03","T-05; XL-01; DOC-03; EM-092; CH-01; DK-06; T-08","T-01; T-02; T-03; T-04; T-06; T-07; DK-01; DK-02; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; DOC-01; DOC-02; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-VAR003-OWNER","VAR-003 is owned by Aniruddh Deshpande.","XL-01","T-05; DK-06; T-08; CH-01; EM-092","T-01; T-02; T-03; T-04; T-06; T-07; DK-01; DK-02; DK-03; DK-04; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-VAR003-IMPACT","VAR-003 impact is INR 1.7 Cr (exact INR 1,68,90,000), FY26.","XL-01","T-03; DK-02; DK-03; DK-04; DK-06; T-08","T-01; T-02; T-04; T-05; T-06; T-07; DK-01; DK-05; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-VAR003-DECISION","ADR-004: MAP_FACT_INVOICE_LINE is rebuilt as a key-based merge on INVOICE_LINE_ID with a versioned re-extract, and the ORION procedure is left unchanged in Phase 1. Planned for release R2026.09 on 30-Sep-2026. VAR-003 is still open at the end of the corpus.","T-05","DOC-04; XL-01; CH-01","T-01; T-02; T-03; T-04; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-023; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-05; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q3"
"F-DASH12","Twelve dashboards are in scope for go-live (D01 to D12). Stated on DK-01 slide 9. EM-023 may reference the twelve only as the number being cut from.","DK-01","EM-023","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q4"
"F-DASH7","Seven dashboards are committed for go-live: D01 Primary Sales Performance, D03 Distributor Scorecard, D05 Stock and Despatch, D06 Order Fulfilment and Fill Rate, D07 Revenue Reconciliation, D09 Product Mix and Contribution, D12 Executive Summary. T-07 and DK-05 work from 'the seven committed' but may not say the number was ever twelve and may not give the reason for the cut.","EM-023","T-07; DK-05","T-01; T-02; T-03; T-04; T-05; T-06; T-08; DK-01; DK-02; DK-03; DK-04; DK-06; EM-012; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q4"
"F-DASH7-REASON","Reason for the cut from twelve to seven, in Shalini Iyer's words: the Klarissen capex freeze on the BI licence uplift means only seven can be funded for go-live and the remaining five go to Phase 2.","EM-023","none","T-01; T-02; T-03; T-04; T-05; T-06; T-07; T-08; DK-01; DK-02; DK-03; DK-04; DK-05; DK-06; EM-012; EM-041; EM-047; EM-055; EM-061; EM-063; EM-068; EM-072; EM-075; EM-078; EM-081; EM-084; EM-089; EM-092; DOC-01; DOC-02; DOC-03; DOC-04; DOC-05; XL-01; XL-02; XL-03; XL-04; TECH-SQL-OLTP; TECH-SQL-EDW; TECH-PKG; TECH-ODI-XML; TECH-CSV; TECH-CTLM; TECH-PROPS; CH-01; CH-02; REC-01; REC-02; REC-03; REC-04; REC-05; REC-06; REC-07; REC-08","Q4"
