artifact_id,path,type,date,author,title,canon_facts_owned,size_bytes,sha256
DOC-03,docs/DOC-03_stored_procedure_walkthrough.docx,document,2026-04-28,Karthik Subramanian,Stored procedure walkthrough issued. This is the only document that explains the VAR-003 mechanism.,F-ADDITIVE;F-TIMING,45857,78910283ea81b740d29b2251ac4983defb3ee0eccf5faaf025fceb053302b5b8
DOC-04,docs/DOC-04_dimension_strategy.docx,document,2026-05-11,Karthik Subramanian,Dimension strategy issued with the ADR register.,F-ADR-REGISTER;F-SCD2-RATIONALE,50356,8cb355063c318356aff45843d3113924129f5614cad45c7606b303600b184368
DOC-05,docs/DOC-05_edw_target_model_notes.docx,document,2026-04-08,Karthik Subramanian,"""EDW target model notes issued. The credit note gap is written down once, as an aside.""",F-CNGAP,46558,a626c057dbc65b7d1f11315dc6d39da1cd41dd988f96072f40c2bf55b5becec8
EM-012,email/EM-012_kickoff_logistics.eml,email,2026-02-04,Sneha Pillai,"""Kickoff logistics mail: agenda, attendees, room, dial-in, pre-read list.""",,4055,b097ef857f7b5bee211d461baf7632471e554cd5d1a903f4fdb6d21b07ca7c90
EM-023,email/EM-023_dashboard_scope_cut.eml,email,2026-03-30,Shalini Iyer,Shalini cuts the reporting scope for go-live and gives her reason.,F-DASH7;F-DASH7-REASON,4817,e193749f28170156c87d3e0b713ccd34e52bcef240cc2737a1e30b1e5ebdc803
EM-041,email/EM-041_farida_scd2_concern.eml,email,2026-04-16,Farida Contractor,Farida objects to SCD2 on load-window grounds.,F-SCD2-OBJECTION,5376,c992084e432c130a01961cc5ddf8b4e1a34d3a58c6d4c49aa95649fd60f1e6c0
EM-047,email/EM-047_karthik_scd2_counter.eml,email,2026-04-23,Karthik Subramanian,Karthik replies to the objection with the measured analysis attached.,,5960,7342d1691ca443e61a287fc2fcf6eabed936fa4989b7920ac0e411c63ea0eea1
EM-055,email/EM-055_var004_handover_ishaan.eml,email,2026-07-09,Ananya Krishnan,VAR-004 reassigned from Farida to Ishaan. Recorded in this mail and nowhere else.,F-OWNER4,5194,6fc999ddb8f2392b180a596ba2caa21bf1354dbeca1382d7f0b394a6e60454b6
EM-061,email/EM-061_marijke_credit_note_escalation.eml,email,2026-07-14,Marijke van der Berg,Marijke escalates the missing credit notes to the CIO.,F-CN-ESCALATION,2529,12e844f21b4eeca1492abeae7cf7869e101de257a8544882ea6d25381afd718b
EM-063,email/EM-063_shalini_validated_credit_note_impact.eml,email,2026-07-21,Shalini Iyer,Shalini reports the validated credit note figure and explains why the earlier estimate was wrong.,F-CN-31;F-CN-METHOD,5780,91a760e1cdda1658673160212b63160d81fc74fea08081fb6ce71bd510c5e09a
EM-068,email/EM-068_golive_slip_30oct.eml,email,2026-08-19,Ananya Krishnan,Go-live slips. First revised date and the reason.,F-GOLIVE-REASON1;F-GOLIVE-SLIP1,4859,185c2ab398bebbcc2dc4d98f02dd475a32b4e915372c6c5937f8375039017df1
EM-072,email/EM-072_feb_duplicate_load_chain.eml,email,2026-08-21,Farida Contractor,"""Five level forwarded chain on the February duplicate load, sent to Neha for the audit trail. Quoted """,,13861,8828f04861666f4e72f2aeb5f9a5604cab132eacc02ca1c76c07e3f6fd0aa1a8
EM-075,email/EM-075_tracker_v6_missing_attachment.eml,email,2026-08-26,Sneha Pillai,CHG0021339 deployed: DIM_TAX_RATE with effective dating. Sneha circulates the tracker and forgets th,,7275,ece3d03acb9712039c4d3b1ef270b3034594b0804e539be75e29ff02c53acc53
EM-078,email/EM-078_gst_rate_taxratemaster_effective_dating.eml,email,2026-08-27,Neha Gokhale,GST restatement thread closes out.,,7544,7e9df1d9dfc272a33ec510f1d848fbc8b76fb37b66d0e695964e71cf81ad69ee
EM-081,email/EM-081_late_arriving_skus_unknown_member.eml,email,2026-09-02,Ritwik Ghosh,Late arriving SKUs thread. UNKNOWN member volumes quantified for the dashboards.,,8956,1fc7d215c1d37cf2c6e3f819609a0de8ad122c71f01224308a070ed748933fbf
EM-084,email/EM-084_north_file_too_big.eml,email,2026-09-25,Vikram Sethi,Vikram cannot mail a large file and asks for it to go to a personal address.,F-PII2,5712,964d519c0160e9303e2eca6868b707d76a79985a089e6eaba518567f53185f33
EM-089,email/EM-089_uat_scheduling.eml,email,2026-09-28,Sneha Pillai,UAT scheduling mail.,F-UAT-FINAL;F-UAT-SCRIPTS,6760,897d4be97cf89b03caed8bddf120f0e37793b8feb1b8e5edc841611d17fb2cbf
EM-092,email/EM-092_ani_scheme_recalc_late.eml,email,2026-10-08,Aniruddh Deshpande,Ani replies at 23:51 about what is updating the invoice lines. He confirms a finance procedure exist,,8388,1fe879335bd275d2149520c5f6ff60478a53861db88564393b1fff59b4696dc8
REC-01,recordings/2026-02-11_kickoff_scope_recording.txt,transcript,2026-02-11,Sneha Pillai,Recording link stub for the kickoff.,,1085,08f93f70c4e8ff4a217cdca3c7a7d41e59786ba3f268c222d63ea949c224973d
REC-02,recordings/2026-03-03_oltp_discovery_ani_recording.txt,transcript,2026-03-03,Sneha Pillai,Recording link stub for the OLTP discovery.,,939,aa8b9110b66a71a57e256b6b38740d9a5851874d2c60d071ad0c8feaa360d23b
REC-03,recordings/2026-03-24_first_variance_findings_recording.txt,transcript,2026-03-24,Sneha Pillai,Recording link stub for the first variance findings. Recording started six minutes late.,,999,db14d6d293a5447b902ff38c81e02a20a66dc161571592244f1b786da239d2ac
REC-04,recordings/2026-04-14_architecture_review_recording.txt,transcript,2026-04-14,Sneha Pillai,Recording link stub for the architecture review.,,817,5c36aa67f19901a005eb750f605e3ec80e5ee68524735a9f50b6378d33ee811d
REC-05,recordings/2026-05-06_design_signoff_recording.txt,transcript,2026-05-06,Sneha Pillai,Recording link stub for the design sign-off.,,816,935a1a698ea027e8cfdfdf6b4ea0f325a0bd41a11438a3661d38bb9d6717eaa4
REC-06,recordings/2026-06-18_dq_readout_recording.txt,transcript,2026-06-18,Sneha Pillai,Recording link stub for the DQ readout.,,760,f2cc6b21e3b02dc244c9431cad0cba135946cc5295b5ee3221d9bff6f5eb25ee
REC-07,recordings/2026-08-05_dashboard_scope_workshop_recording.txt,transcript,2026-08-05,Sneha Pillai,Recording link stub for the dashboard workshop. Audio only for the first 22 minutes.,,1086,6e939a1d10508c57c4e9433c53bbfb24ed57d8e4fe429bc158d8f00efe63337c
REC-08,recordings/2026-09-22_steering_committee_recording.txt,transcript,2026-09-22,Sneha Pillai,Recording link stub for the steering committee.,,843,cc526f5acb17808de457a879dae0597f386e1c38e5db06af198b3100e04cbccc
T-01,meetings/2026-02-11_kickoff_scope.txt,transcript,2026-02-11,Ananya Krishnan,"""Kickoff and scope meeting, 15:00-16:00 IST, Andheri East board room Nashik plus remote. Marijke join""",,32519,f1fc810186710408ab30d51eda2ff67a791a29887597fde581f16125feabb1ab
T-01,meetings/2026-02-11_kickoff_scope.vtt,transcript,2026-02-11,Ananya Krishnan,"""Kickoff and scope meeting, 15:00-16:00 IST, Andheri East board room Nashik plus remote. Marijke join""",,59990,8d80af2557a1414e511a972aca695c15fc6c831459d29a58953e3d00641b46cb
T-02,meetings/2026-03-03_oltp_discovery_ani.txt,transcript,2026-03-03,Aniruddh Deshpande,"""OLTP discovery session with Ani, 11:00-12:30 IST, online.""",,48199,e7ec2b57938a6c4a084cad12f79d9ad3a206eb48581bf497dca2a3051e3f374b
T-02,meetings/2026-03-03_oltp_discovery_ani.vtt,transcript,2026-03-03,Aniruddh Deshpande,"""OLTP discovery session with Ani, 11:00-12:30 IST, online.""",,96958,6e675cc709626723ba990f5d42a1b361b053a55b365bf8f2efdab17233b0389d
T-03,meetings/2026-03-24_first_variance_findings.txt,transcript,2026-03-24,Ananya Krishnan,"""First variance findings, 16:00-16:45 IST, online. VAR-003 is blamed on the database link.""",F-DBLINK-HYP,30060,64a9bd8f47e6a5e5c6a49d48be0da4502481471eab999d36c4d84e99ca5c9094
T-03,meetings/2026-03-24_first_variance_findings.vtt,transcript,2026-03-24,Ananya Krishnan,"""First variance findings, 16:00-16:45 IST, online. VAR-003 is blamed on the database link.""",F-DBLINK-HYP,52759,17f4ff0662c328189877d81099bf41566bfc1eb6939ef4b2f4ac4b39663da26b
T-04,meetings/2026-04-14_architecture_review.txt,transcript,2026-04-14,Karthik Subramanian,"""Architecture review, 14:00-15:15 IST, online. DBLINK hypothesis ruled out with AWR evidence. SCD2 ra""",F-DBLINK-RULEDOUT;F-SCD1-PROPOSED;F-SCD2-OPTION,33961,07d48140f1f48bcd228064406ebd52239f0ca3997a38e78b70b89dba44fd831b
T-04,meetings/2026-04-14_architecture_review.vtt,transcript,2026-04-14,Karthik Subramanian,"""Architecture review, 14:00-15:15 IST, online. DBLINK hypothesis ruled out with AWR evidence. SCD2 ra""",F-DBLINK-RULEDOUT;F-SCD1-PROPOSED;F-SCD2-OPTION,66105,3564850bd09a46a32de1f89b1cde774c39a2ded5f54d556f0a8b0f66fa8e5f82
T-05,meetings/2026-05-06_design_signoff.txt,transcript,2026-05-06,Karthik Subramanian,"""Design sign-off, 15:30-16:30 IST, online. VAR-003 root cause accepted as source-side. SCD2 confirmed""",F-SCD2-DECISION;F-VAR003-DECISION,29896,2d13ddd94953f81d9eb73f7cc4d21b6999639275dc28a208980dcc075f16f8e6
T-05,meetings/2026-05-06_design_signoff.vtt,transcript,2026-05-06,Karthik Subramanian,"""Design sign-off, 15:30-16:30 IST, online. VAR-003 root cause accepted as source-side. SCD2 confirmed""",F-SCD2-DECISION;F-VAR003-DECISION,57537,e5b83d61ed4d92552a529f502ed87a65afd3d39a130febe50380bd73e082f3ca
T-06,meetings/2026-06-18_dq_readout.txt,transcript,2026-06-18,Neha Gokhale,"""Data quality readout, 11:00-11:50 IST, online.""",,34274,0cc5f6d300c0135693262443e12686365b6268dad6b0f46ed4a6937cd667591b
T-06,meetings/2026-06-18_dq_readout.vtt,transcript,2026-06-18,Neha Gokhale,"""Data quality readout, 11:00-11:50 IST, online.""",,59308,77efb888f8fc5e71daa811608fe4bfa97cf96dfd94a882acc7221678ac520e32
T-07,meetings/2026-08-05_dashboard_scope_workshop.txt,transcript,2026-08-05,Ritwik Ghosh,"""Dashboard scope workshop, 10:00-11:30 IST, Andheri East plus remote. Wei Lin joins for the first hou""",F-DASH-CANDIDATES,45807,0dccd3fe224f4e7fa624d8ced6e18682846547b1f6ad59feae1242908ed6dec9
T-07,meetings/2026-08-05_dashboard_scope_workshop.vtt,transcript,2026-08-05,Ritwik Ghosh,"""Dashboard scope workshop, 10:00-11:30 IST, Andheri East plus remote. Wei Lin joins for the first hou""",F-DASH-CANDIDATES,81966,b3008d1a92b3515aed92b7eda4f5ff0bd02012fac13027af707c07c0baf0da95
T-08,meetings/2026-09-22_steering_committee.txt,transcript,2026-09-22,Rajeev Menon,"""Steering committee, 15:00-15:45 IST, online. Go-live date and dashboard count settled.""",F-DASH9-REASON;F-GOLIVE-REASON2,26400,d214f68cb7eecf269c12977dc13c6f80bae6eb8fd833285d1159a04b6688647a
T-08,meetings/2026-09-22_steering_committee.vtt,transcript,2026-09-22,Rajeev Menon,"""Steering committee, 15:00-15:45 IST, online. Go-live date and dashboard count settled.""",F-DASH9-REASON;F-GOLIVE-REASON2,45790,a89a89cd3124516490cd4d916eaff4c5b73e93088c8df690d39c99e1965a60e9
TECH-CSV,technical/sample_extract_invoice_line.csv,technical,2026-03-11,Ishaan Bhatt,Sample STG_INVOICE_LINE extract shared for mapping work.,,118241,1634cac63781d85d8c08f76d378f4d3cb6c5b7857f7b94b240b92d033f2179d9
TECH-CTLM,technical/control_m_schedule.txt,transcript,2026-03-18,Farida Contractor,Control-M folder BCPL_EDW_DAILY exported for the job inventory.,,5190,5227306ffd3023c58ba7242fdbe6a3b81a294e502a3a42813b7c11e05cfa28ed
TECH-ODI-XML,technical/odi_mapping_export_MAP_FACT_INVOICE_LINE.xml,technical,2026-05-20,Ishaan Bhatt,"""ODI mapping export taken for MAP_FACT_INVOICE_LINE, as-was state.""",,16764,84083b4516562501973b1c8a5f78ad2cdf9691acf2d2241609b9abf1488039c7
TECH-PKG,technical/pkg_month_end.pkb,technical,2026-04-27,Aniruddh Deshpande,FIN_PROD.PKG_MONTH_END package body pulled from ORION for review.,,18519,f49d7dff8b2031622b180f74b1f70ec87b9a11d7c5a3a35161c708dac83e5be4
TECH-PROPS,technical/db_config_snippet.properties,technical,2026-03-12,Farida Contractor,ODI and JDBC connection properties fragment dropped into the shared folder.,F-PII4,3193,8480b1eefd741b1c0515f2a2a0d4d99b805bb3756eafcd79f0efcf57e302bf43
TECH-SQL-EDW,technical/schema_edw.sql,technical,2026-04-07,Ishaan Bhatt,BCPL_EDW DDL extracted while drafting the target model notes.,F-CN-STRUCT,12699,faa5ca9db3ec6c393d005f67f65fab7bb402b34eee5b27691646c5d63e5f5f8c
TECH-SQL-OLTP,technical/schema_oltp.sql,technical,2026-03-05,Aniruddh Deshpande,ORION DDL extracted from OMS_PROD and FIN_PROD and shared with the consultancy.,F-CN-SOURCE,20230,e4676c3b783f3d716ed8853d084c01b89eb3ed14ff17cabe8d60e7b31ca248ee
XL-01,trackers/XL-01_variance_tracker_v7.xlsx,spreadsheet,2026-09-18,Sneha Pillai,Variance tracker v7 saved. VAR-004 owner cell is still stale.,F-PII3;F-Q1REV-RESTATED;F-VAR003-IMPACT;F-VAR003-OWNER;F-VAR005-TITLE,15777,52893a42d006e11c1ecc6e827f1a3f5521926792db06a70e277c2e12ded47444
XL-02,trackers/XL-02_dq_profiling_results.xlsx,spreadsheet,2026-06-12,Meghna Rao,DQ profiling results workbook issued. VAR-001 and VAR-002 closed after verification.,F-PROFDATE;F-SECONDARY-COVERAGE,28399,1d0b22f4227afdda306db44259a13625a646b8c162f65f51147cd89cfffa48f0
XL-03,trackers/XL-03_scd2_load_impact.xlsx,spreadsheet,2026-04-22,Karthik Subramanian,SCD2 load impact model built and measured on DEV.,F-SCD2-COUNTER,12879,6a3b4bca4b258f2fa2c2562c4c30a991a451c40aa2c5010d700ea28737de5da0
XL-04,trackers/XL-04_source_to_target_mapping.xlsx,spreadsheet,2026-06-10,Ishaan Bhatt,Source to target mapping workbook issued.,F-SMP-FILTER,14071,9ea8b138988b4c81cf3d35e98a693b267175799ccee1f7754ec2c7abc981ac63

# SYNTHETIC — generated for internal demo. No real entity depicted.
